age,descent,sex,area,location,intersection,geojson,date,day_of_week,time,reporting_district,lon,lat
24.0,H,F,Van Nuys,WOODMAN                      AV,VALLEYHEART                  DR,"-118.4312, 34.1553",2010-04-11,Sunday,100,976,34.1553,-118.4312
32.0,H,M,Mission,VAN NUYS                     BL,WOODMAN                      AV,"-118.4482, 34.2471",2010-11-02,Tuesday,1110,1958,34.2471,-118.4482
24.0,B,F,Rampart,3RD                          ST,BOYLSTON                     AV,"-118.2578, 34.0568",2010-05-09,Sunday,140,249,34.0568,-118.2578
39.0,H,M,Foothill,BRANFORD                     ST,HADDON                       AV,"-118.4116, 34.2421",2010-11-17,Wednesday,1715,1651,34.2421,-118.4116
25.0,H,F,Devonshire,ETIWANDA                     AV,ROSCOE                       BL,"-118.5317, 34.2219",2010-03-17,Wednesday,1845,1794,34.2219,-118.5317
57.0,O,M,N Hollywood,SHERMAN                      WY,BELLAIRE                     AV,"-118.4094, 34.2012",2010-06-29,Tuesday,1220,1512,34.2012,-118.4094
36.0,W,F,Harbor,PACIFIC COAST                HY,BIXBY                        AV,"-118.2908, 33.791",2010-11-24,Wednesday,1505,532,33.791,-118.2908
46.0,H,M,Southwest,FIGUEROA                     ST,MARTIN LUTHER KING JR        BL,"-118.2827, 34.0106",2010-02-24,Wednesday,1650,398,34.0106,-118.2827
47.0,W,F,Harbor,WESTERN                      AV,WESTMONT                     DR,"-118.3116, 33.7631",2010-10-27,Wednesday,521,521,33.7631,-118.3116
43.0,O,M,Mission,8400    CEDROS                       AV,,"-118.4535, 34.2231",2010-01-31,Sunday,2130,1984,34.2231,-118.4535
29.0,W,M,Northeast,FIGUEROA,ARROYO GLEN,"-118.1862, 34.1136",2010-04-23,Friday,1800,1138,34.1136,-118.1862
44.0,B,M,Harbor,18TH                         ST,MESA                         ST,"-118.2858, 33.7279",2010-06-15,Tuesday,345,567,33.7279,-118.2858
72.0,H,F,N Hollywood,LAUREL CANYON                BL,VANOWEN                      ST,"-118.3965, 34.194",2010-08-12,Thursday,1905,1503,34.194,-118.3965
33.0,W,M,Van Nuys,VENTURA                      BL,LEMONA                       AV,"-118.4596, 34.1527",2010-02-05,Friday,1425,985,34.1527,-118.4596
39.0,B,F,Southeast,PACE                         AV,104TH                        ST,"-118.2529, 33.9424",2010-07-14,Wednesday,1220,1835,33.9424,-118.2529
33.0,W,F,N Hollywood,VENTURA                      BL,RIDGEMOOR                    DR,"-118.3817, 34.1397",2010-01-03,Sunday,130,1595,34.1397,-118.3817
38.0,W,M,Van Nuys,SEPULVEDA,BURBANK,"-118.4662, 34.1721",2010-09-15,Wednesday,1720,952,34.1721,-118.4662
24.0,H,F,Foothill,LAUREL CANYON                BL,ROSCOE                       BL,"-118.3965, 34.2217",2010-02-05,Friday,1745,1691,34.2217,-118.3965
29.0,H,M,West LA,SUNSET                       BL,THURSTON                     AV,"-118.4631, 34.0737",2010-02-27,Saturday,840,815,34.0737,-118.4631
17.0,H,M,Northeast,PIEDMONT                     ST,SUMTER                       DR,"-118.1884, 34.1134",2010-08-19,Thursday,2115,1138,34.1134,-118.1884
56.0,H,M,Harbor,254TH                        ST,WESTERN                      AV,"-118.3076, 33.7938",2010-12-17,Friday,1300,511,33.7938,-118.3076
46.0,B,M,Rampart,VERMONT                      AV,SANTA MONICA                 BL,"-118.2917, 34.0909",2010-07-20,Tuesday,1230,201,34.0909,-118.2917
21.0,H,M,Southwest,MARTIN LUTHER KING JR        BL,NORMANDIE                    AV,"-118.3002, 34.0109",2010-02-03,Wednesday,1530,395,34.0109,-118.3002
60.0,A,F,Foothill,TUXFORD,GLENOAKS,"-118.3713, 34.2345",2010-03-12,Friday,1145,1675,34.2345,-118.3713
30.0,W,M,77th Street,98TH                         ST,WESTERN                      AV,"-118.309, 33.947",2010-07-16,Friday,1410,1283,33.947,-118.309
25.0,H,F,Newton,E  VERNON                       AV,HOOPER                       AV,"-118.2521, 34.0039",2010-12-04,Saturday,1410,1346,34.0039,-118.2521
40.0,H,M,Wilshire,VENICE                       BL,CRENSHAW                     BL,"-118.3284, 34.0447",2010-06-03,Thursday,720,752,34.0447,-118.3284
44.0,B,M,Southwest,42ND                         PL,WESTERN                      AV,"-118.3089, 34.0064",2010-09-12,Sunday,25,395,34.0064,-118.3089
12.0,H,F,Newton,MAIN,57TH,"-118.2739, 33.9907",2010-10-29,Friday,1400,1371,33.9907,-118.2739
26.0,A,M,Olympic,WILSHIRE                     BL,VERMONT                      AV,"-118.2916, 34.0618",2010-11-25,Thursday,200,2038,34.0618,-118.2916
69.0,W,M,West LA,ROBERTSON,PICO,"-118.3838, 34.0543",2010-10-16,Saturday,1135,859,34.0543,-118.3838
28.0,H,M,Mission,MCLAUGHLIN                   AV,MATTESON,"-118.4215, 34.0048",2010-07-10,Saturday,1900,1935,34.0048,-118.4215
70.0,H,M,Newton,15TH                         ST,ALAMEDA                      ST,"-118.2393, 34.0224",2010-01-14,Thursday,1050,1309,34.0224,-118.2393
66.0,H,M,Southwest,JEFFERSON                    BL,7TH                          AV,"-118.3248, 34.0256",2010-11-21,Sunday,1250,354,34.0256,-118.3248
